DayOfWeek,Hour,Minute,CPU Util,CPU Load,VMs No,Initialing VMs,Running VMs,Quarantined VMs,RunningCloudlets,Throughput
6,0,1,100.0,93600.0,1,0,1,0,936,86.98010849909585
6,0,2,100.0,177900.0,1,0,1,0,1779,88.45363648815231
6,0,3,50.0,99750.0,2,0,2,0,1995,97.09482178883658
6,0,4,0.0,0.0,2,0,2,0,0,127.92944141117178
6,0,5,0.0,0.0,3,0,3,0,0,100.0
6,0,6,0.0,0.0,3,0,3,0,0,100.0
6,0,7,0.0,0.0,4,0,4,0,0,100.0
6,0,8,0.0,0.0,4,0,4,0,0,100.0
6,0,9,0.0,0.0,5,0,5,0,0,100.0
6,0,10,0.0,0.0,5,0,5,0,0,100.0
6,0,11,0.0,0.0,6,0,6,0,0,100.0
6,0,12,0.0,0.0,6,0,6,0,0,100.0
6,0,13,0.0,0.0,7,0,7,0,0,100.0
6,0,14,0.0,0.0,7,0,7,0,0,100.0
6,0,15,0.0,0.0,8,0,8,0,0,100.0
6,0,16,0.0,0.0,8,0,8,0,0,100.0
6,0,17,0.0,0.0,9,0,9,0,0,100.0
6,0,18,0.0,0.0,9,0,9,0,0,100.0
6,0,19,0.0,0.0,10,0,10,0,0,100.0
6,0,20,0.0,0.0,10,0,10,0,0,100.0
6,0,21,0.0,0.0,10,0,10,0,0,100.0
6,0,22,0.0,0.0,10,0,10,0,0,100.0
6,0,23,0.0,0.0,10,0,10,0,0,100.0
6,0,24,0.0,0.0,10,0,10,0,0,100.0
6,0,25,0.0,0.0,10,0,10,0,0,100.0
6,0,26,0.0,0.0,10,0,10,0,0,100.0
6,0,27,0.0,0.0,10,0,10,0,0,100.0
6,0,28,0.0,0.0,10,0,10,0,0,100.0
6,0,29,0.0,0.0,10,0,10,0,0,100.0
6,0,30,0.0,0.0,10,0,10,0,0,100.0
6,0,31,0.0,0.0,10,0,10,0,0,100.0
6,0,32,0.0,0.0,10,0,10,0,0,100.0
6,0,33,0.0,0.0,10,0,10,0,0,100.0
6,0,34,0.0,0.0,10,0,10,0,0,100.0
6,0,35,0.0,0.0,10,0,10,0,0,100.0
6,0,36,0.0,0.0,10,0,10,0,0,100.0
6,0,37,0.0,0.0,10,0,10,0,0,100.0
6,0,38,0.0,0.0,10,0,10,0,0,100.0
6,0,39,0.0,0.0,10,0,10,0,0,100.0
6,0,40,0.0,0.0,10,0,10,0,0,100.0
6,0,41,0.0,0.0,10,0,10,0,0,100.0
6,0,42,0.0,0.0,10,0,10,0,0,100.0
6,0,43,0.0,0.0,10,0,10,0,0,100.0
6,0,44,0.0,0.0,10,0,10,0,0,100.0
6,0,45,0.0,0.0,10,0,10,0,0,100.0
6,0,46,0.0,0.0,10,0,10,0,0,100.0
6,0,47,0.0,0.0,9,0,9,0,0,100.0
6,0,48,0.0,0.0,9,0,9,0,0,100.0
6,0,49,0.0,0.0,8,0,8,0,0,100.0
6,0,50,0.0,0.0,8,0,8,0,0,100.0
6,0,51,0.0,0.0,7,0,7,0,0,100.0
6,0,52,0.0,0.0,7,0,7,0,0,100.0
6,0,53,0.0,0.0,6,0,6,0,0,100.0
6,0,54,0.0,0.0,6,0,6,0,0,100.0
6,0,55,0.0,0.0,5,0,5,0,0,100.0
6,0,56,0.0,0.0,5,0,5,0,0,100.0
6,0,57,0.0,0.0,4,0,4,0,0,100.0
6,0,58,0.0,0.0,4,0,4,0,0,100.0
6,0,59,0.0,0.0,3,0,3,0,0,100.0
6,1,0,0.0,0.0,3,0,3,0,0,100.0
6,1,1,0.0,0.0,2,0,2,0,0,100.0
6,1,2,0.0,0.0,2,0,2,0,0,100.0
6,1,3,100.0,99800.0,1,0,1,0,998,85.97329585382994
6,1,4,100.0,153600.0,1,0,1,0,1536,92.47447195411945
6,1,5,50.0,77800.0,2,0,2,0,1556,99.71501852379595
6,1,6,0.0,0.0,2,0,2,0,0,121.84166198764738
6,1,7,0.0,0.0,3,0,3,0,0,100.0
6,1,8,0.0,0.0,3,0,3,0,0,100.0
6,1,9,0.0,0.0,4,0,4,0,0,100.0
6,1,10,0.0,0.0,4,0,4,0,0,100.0
6,1,11,0.0,0.0,5,0,5,0,0,100.0
6,1,12,0.0,0.0,5,0,5,0,0,100.0
6,1,13,0.0,0.0,6,0,6,0,0,100.0
6,1,14,0.0,0.0,6,0,6,0,0,100.0
6,1,15,0.0,0.0,7,0,7,0,0,100.0
6,1,16,0.0,0.0,7,0,7,0,0,100.0
6,1,17,0.0,0.0,8,0,8,0,0,100.0
6,1,18,0.0,0.0,8,0,8,0,0,100.0
6,1,19,0.0,0.0,9,0,9,0,0,100.0
6,1,20,0.0,0.0,9,0,9,0,0,100.0
6,1,21,0.0,0.0,10,0,10,0,0,100.0
6,1,22,0.0,0.0,10,0,10,0,0,100.0
6,1,23,0.0,0.0,10,0,10,0,0,100.0
6,1,24,0.0,0.0,10,0,10,0,0,100.0
6,1,25,0.0,0.0,10,0,10,0,0,100.0
6,1,26,0.0,0.0,10,0,10,0,0,100.0
6,1,27,0.0,0.0,10,0,10,0,0,100.0
6,1,28,0.0,0.0,10,0,10,0,0,100.0
6,1,29,0.0,0.0,10,0,10,0,0,100.0
6,1,30,0.0,0.0,10,0,10,0,0,100.0
6,1,31,0.0,0.0,10,0,10,0,0,100.0
6,1,32,0.0,0.0,10,0,10,0,0,100.0
